original_filename,new_filename,change_type,default_data_output_paths_changed
A000a_sample_5_tile_pairs_per_river_plus_focus.sh,A000a_sample_5_tile_pairs_per_river_plus_focus.sh,unchanged,No
A001_make_bathy_lcc_split_trainval.py,A001_make_bathy_lcc_split_trainval.py,unchanged,No
A002_make_bathy_lcc_split_by_river.py,A002_make_bathy_lcc_split_by_river.py,unchanged,No
A010_prepare_LOORO_crossval_splits_and_audits.py,A010_prepare_LOORO_crossval_splits_and_audits.py,unchanged,No
A011_prepare_grouped_holdout_from_existing_LOORO.py,A010g_prepare_grouped_holdout_from_existing_LOORO.py,renamed,No
A013_inspect_suspicious_tile_source_chain_exactmask.py,A010q1_inspect_suspicious_tile_source_chain_exactmask.py,renamed,No
A014_inspect_suspicious_tile_source_chain_gis_export.py,A010q2_inspect_suspicious_tile_source_chain_gis_export.py,renamed,No
A016_v2_holdout_split_20260707_final.py,A020_prepare_v2_dualmask_holdout_split_20260707.py,renamed,No
A017_v2_prepare_stdstratified_river_split_20260708.py,A020s_prepare_v2_dualmask_stdstratified_river_split_20260708.py,renamed,No
B001_run_split_bathy_lcc_trainval.sh,B001_run_split_bathy_lcc_trainval.sh,unchanged,No
B002a_count_bathy_lcc_tiles_by_river.sh,B002a_count_bathy_lcc_tiles_by_river.sh,unchanged,No
B002b_split_bathy_lcc_holdout_river.sh,B002b_split_bathy_lcc_holdout_river.sh,unchanged,No
B010_prepare_LOORO_crossval_splits_and_audits.sh,B010_prepare_LOORO_crossval_splits_and_audits.sh,unchanged,No
B011_prepare_MilwaukeeRiverGroup_holdout.sh,B010g_prepare_MilwaukeeRiverGroup_holdout.sh,renamed,No
B013_run_source_chain_exactmask_for_suspicious_tiles.sh,B010q1_run_source_chain_exactmask_for_suspicious_tiles.sh,renamed,No
B014_run_source_chain_gis_export_for_suspicious_tiles.sh,B010q2_run_source_chain_gis_export_for_suspicious_tiles.sh,renamed,No
C001_smoke_stage3_bathy_lcc_exact_decoder_fullnorm.sh,C001_smoke_stage3_bathy_lcc_exact_decoder_fullnorm.sh,unchanged,No
C002_minitest_stage3_bathy_lcc_exact_decoder_fullnorm.sh,C002_minitest_stage3_bathy_lcc_exact_decoder_fullnorm.sh,unchanged,No
D001_train_stage3_bathy_lcc_exact_decoder_fullnorm.sh,D001_train_stage3_bathy_lcc_exact_decoder_fullnorm.sh,unchanged,No
D002_train_stage4_bathy_finalmask_holdout_decoder_tilenormVis.sh,D002_train_stage4_bathy_finalmask_holdout_decoder_tilenormVis.sh,unchanged,No
D002b_train_stage4_bathy_finalmask_holdout_decoder_tilenormFull.sh,D002b_train_stage4_bathy_finalmask_holdout_decoder_tilenormFull.sh,unchanged,No
D003a_train_stage4_nodataSafe_tilenormVis.sh,D003a_train_stage4_nodataSafe_tilenormVis.sh,unchanged,No
D003b_train_stage4_nodataSafe_tilenormFull.sh,D003b_train_stage4_nodataSafe_tilenormFull.sh,unchanged,No
D004a_train_stage4_zeroNDfix_nodataSafe_coreLoss_tilenormVis.sh,D004a_train_stage4_zeroNDfix_nodataSafe_coreLoss_tilenormVis.sh,unchanged,No
D005_train_stage4_allRiverCanonicalND_coreLoss_tilenormVis.sh,D005_train_stage4_allRiverCanonicalND_coreLoss_tilenormVis.sh,unchanged,No
D010_train_stage4_LOORO_crossval.sh,D010_train_stage4_LOORO_crossval.sh,unchanged,No
D010g_train_stage4_grouped_LOORO_crossval.sh,D010g_train_stage4_grouped_LOORO_crossval.sh,unchanged,No
D020_v2_dualmask_coreloss_train_backend_normES_20260708.sh,D020_v2_dualmask_coreloss_train_backend_normES_20260708.sh,unchanged,No
D021_v2_dualmask_holdout_select_normES_D001NoDataSafe_20260709.sh,D021_v2_dualmask_holdout_select_normES_D001NoDataSafe_20260709.sh,unchanged,No
D024_v2_dualmask_stdstrat_normES_D001NoDataSafe_20260709.sh,D024_v2_dualmask_stdstrat_normES_D001NoDataSafe_20260709.sh,unchanged,No
D025_train_stage2_MeterMAE_FromNorm_backend_20260725.sh,D025_train_stage2_MeterMAE_FromNorm_backend_20260725.sh,unchanged,No
D026_v2_dualmask_holdout_Stage2MeterMAE_FromNorm_RuntimeLogSafe_20260725.sh,D026_v2_dualmask_holdout_Stage2MeterMAE_FromNorm_RuntimeLogSafe_20260725.sh,unchanged,No
D027_v2_dualmask_stdstrat_Stage2MeterMAE_FromNorm_RuntimeLogSafe_20260725.sh,D027_v2_dualmask_stdstrat_Stage2MeterMAE_FromNorm_RuntimeLogSafe_20260725.sh,unchanged,No
D028_submit_three_holdout_Stage2MeterMAE_FromNorm_20260725.sh,D028_submit_three_holdout_Stage2MeterMAE_FromNorm_20260725.sh,unchanged,No
D030_train_v2_dualmask_corePixel_meterMAE_BaselineEval_backend_20260713.sh,D030_train_v2_dualmask_corePixel_meterMAE_BaselineEval_backend_20260713.sh,unchanged,No
D031_v2_dualmask_holdout_meterMAE_BaselineEval_RuntimeLogSafe_D001NoDataSafe_20260713.sh,D031_v2_dualmask_holdout_meterMAE_BaselineEval_RuntimeLogSafe_D001NoDataSafe_20260713.sh,unchanged,No
D032_v2_dualmask_stdstrat_meterMAE_BaselineEval_RuntimeLogSafe_D001NoDataSafe_20260713.sh,D032_v2_dualmask_stdstrat_meterMAE_BaselineEval_RuntimeLogSafe_D001NoDataSafe_20260713.sh,unchanged,No
D033_submit_three_holdout_meterMAE_BaselineEval_20260713.sh,D033_submit_three_holdout_meterMAE_BaselineEval_20260713.sh,unchanged,No
D034_train_stage2_NormalizedMSE_MeterSelect_backend_20260713.sh,D034_train_stage2_NormalizedMSE_MeterSelect_backend_20260713.sh,unchanged,No
D035_v2_dualmask_holdout_Stage2NormMSE_MeterSelect_RuntimeLogSafe_20260713.sh,D035_v2_dualmask_holdout_Stage2NormMSE_MeterSelect_RuntimeLogSafe_20260713.sh,unchanged,No
D036_v2_dualmask_stdstrat_Stage2NormMSE_MeterSelect_RuntimeLogSafe_20260713.sh,D036_v2_dualmask_stdstrat_Stage2NormMSE_MeterSelect_RuntimeLogSafe_20260713.sh,unchanged,No
D037_submit_three_holdout_Stage2NormMSE_MeterSelect_20260713.sh,D037_submit_three_holdout_Stage2NormMSE_MeterSelect_20260713.sh,unchanged,No
E001_evaluate_stage3_lcc_exact_per_tile.py,E001_evaluate_stage3_lcc_exact_per_tile.py,unchanged,No
E001a_eval_stage3_best_val_lcc_exact_per_tile.sh,E001a_eval_stage3_best_val_lcc_exact_per_tile.sh,unchanged,No
E001b_eval_stage3_best_train_lcc_exact_per_tile.sh,E001b_eval_stage3_best_train_lcc_exact_per_tile.sh,unchanged,No
E002_evaluate_stage4_lcc_exact_per_tile.py,E002_evaluate_stage4_lcc_exact_per_tile.py,unchanged,No
E002a_eval_stage4_best_train_holdout_lcc_exact_per_tile.sh,E002a_eval_stage4_best_train_holdout_lcc_exact_per_tile.sh,unchanged,No
E002b_eval_stage4_best_val_holdout_lcc_exact_per_tile.sh,E002b_eval_stage4_best_val_holdout_lcc_exact_per_tile.sh,unchanged,No
E020_evaluate_stage4_nodata_core_per_tile.py,E003_evaluate_stage4_nodata_core_per_tile.py,renamed,No
E021_eval_stage4_best_val_nodata_core_tilenormVis.sh,E003a_eval_stage4_best_val_nodata_core_tilenormVis.sh,renamed,No
E021b_evaluate_zeroNDfix_best_exact_pixel.sh,E004_eval_zeroNDfix_best_exact_pixel.sh,renamed,No
E030_evaluate_stage4_predictionOnly_coreBox.py,E005_evaluate_stage4_predictionOnly_coreBox.py,renamed,No
E031_eval_stage4_best_val_predictionOnly_coreBox.sh,E005a_eval_stage4_best_val_predictionOnly_coreBox.sh,renamed,No
E031b_evaluate_allRiverCanonicalND_best_predictionOnly_coreBox.sh,E005b_evaluate_allRiverCanonicalND_best_predictionOnly_coreBox.sh,renamed,No
E040_analyze_crossval_evaluations_suspicious_tiles.py,E010c_analyze_crossval_evaluations_suspicious_tiles.py,renamed,No
E041_eval_crossval_all_holdouts_predictionOnly_coreBox.sh,E010a_eval_crossval_all_holdouts_predictionOnly_coreBox.sh,renamed,No
E042_run_crossval_suspicious_summary.sh,E010b_run_crossval_suspicious_summary.sh,renamed,No
E050_v2_dualmask_evaluate_core_pixel_metrics_D001NoDataSafe_overlayvis_20260710.py,E020_evaluate_NormOnly_core_pixel_metrics_overlayvis_20260710.py,renamed,No
E051_run_v2_train_val_core_pixel_eval_D001NoDataSafe_overlayvis_20260710.sh,E021_run_NormOnly_train_val_core_pixel_eval_overlayvis_20260710.sh,renamed,No
E060_v4_meterMAE_evaluate_core_pixel_metrics_overlayvis_20260713.py,E030_evaluate_MeterOnly_core_pixel_metrics_overlayvis_20260713.py,renamed,No
E061_run_v4_meterMAE_train_val_core_pixel_eval_20260713.sh,E031_run_MeterOnly_train_val_core_pixel_eval_20260713.sh,renamed,No
