filename,check,return_code,stderr
A000a_sample_5_tile_pairs_per_river_plus_focus.sh,bash -n,0,
B001_run_split_bathy_lcc_trainval.sh,bash -n,0,
B002a_count_bathy_lcc_tiles_by_river.sh,bash -n,0,
B002b_split_bathy_lcc_holdout_river.sh,bash -n,0,
B010_prepare_LOORO_crossval_splits_and_audits.sh,bash -n,0,
B010g_prepare_MilwaukeeRiverGroup_holdout.sh,bash -n,0,
B010q1_run_source_chain_exactmask_for_suspicious_tiles.sh,bash -n,0,
B010q2_run_source_chain_gis_export_for_suspicious_tiles.sh,bash -n,0,
C001_smoke_stage3_bathy_lcc_exact_decoder_fullnorm.sh,bash -n,0,
C002_minitest_stage3_bathy_lcc_exact_decoder_fullnorm.sh,bash -n,0,
D001_train_stage3_bathy_lcc_exact_decoder_fullnorm.sh,bash -n,0,
D002_train_stage4_bathy_finalmask_holdout_decoder_tilenormVis.sh,bash -n,0,
D002b_train_stage4_bathy_finalmask_holdout_decoder_tilenormFull.sh,bash -n,0,
D003a_train_stage4_nodataSafe_tilenormVis.sh,bash -n,0,
D003b_train_stage4_nodataSafe_tilenormFull.sh,bash -n,0,
D004a_train_stage4_zeroNDfix_nodataSafe_coreLoss_tilenormVis.sh,bash -n,0,
D005_train_stage4_allRiverCanonicalND_coreLoss_tilenormVis.sh,bash -n,0,
D010_train_stage4_LOORO_crossval.sh,bash -n,0,
D010g_train_stage4_grouped_LOORO_crossval.sh,bash -n,0,
D020_v2_dualmask_coreloss_train_backend_normES_20260708.sh,bash -n,0,
D021_v2_dualmask_holdout_select_normES_D001NoDataSafe_20260709.sh,bash -n,0,
D024_v2_dualmask_stdstrat_normES_D001NoDataSafe_20260709.sh,bash -n,0,
D025_train_stage2_MeterMAE_FromNorm_backend_20260725.sh,bash -n,0,
D026_v2_dualmask_holdout_Stage2MeterMAE_FromNorm_RuntimeLogSafe_20260725.sh,bash -n,0,
D027_v2_dualmask_stdstrat_Stage2MeterMAE_FromNorm_RuntimeLogSafe_20260725.sh,bash -n,0,
D028_submit_three_holdout_Stage2MeterMAE_FromNorm_20260725.sh,bash -n,0,
D030_train_v2_dualmask_corePixel_meterMAE_BaselineEval_backend_20260713.sh,bash -n,0,
D031_v2_dualmask_holdout_meterMAE_BaselineEval_RuntimeLogSafe_D001NoDataSafe_20260713.sh,bash -n,0,
D032_v2_dualmask_stdstrat_meterMAE_BaselineEval_RuntimeLogSafe_D001NoDataSafe_20260713.sh,bash -n,0,
D033_submit_three_holdout_meterMAE_BaselineEval_20260713.sh,bash -n,0,
D034_train_stage2_NormalizedMSE_MeterSelect_backend_20260713.sh,bash -n,0,
D035_v2_dualmask_holdout_Stage2NormMSE_MeterSelect_RuntimeLogSafe_20260713.sh,bash -n,0,
D036_v2_dualmask_stdstrat_Stage2NormMSE_MeterSelect_RuntimeLogSafe_20260713.sh,bash -n,0,
D037_submit_three_holdout_Stage2NormMSE_MeterSelect_20260713.sh,bash -n,0,
E001a_eval_stage3_best_val_lcc_exact_per_tile.sh,bash -n,0,
E001b_eval_stage3_best_train_lcc_exact_per_tile.sh,bash -n,0,
E002a_eval_stage4_best_train_holdout_lcc_exact_per_tile.sh,bash -n,0,
E002b_eval_stage4_best_val_holdout_lcc_exact_per_tile.sh,bash -n,0,
E003a_eval_stage4_best_val_nodata_core_tilenormVis.sh,bash -n,0,
E004_eval_zeroNDfix_best_exact_pixel.sh,bash -n,0,
E005a_eval_stage4_best_val_predictionOnly_coreBox.sh,bash -n,0,
E005b_evaluate_allRiverCanonicalND_best_predictionOnly_coreBox.sh,bash -n,0,
E010a_eval_crossval_all_holdouts_predictionOnly_coreBox.sh,bash -n,0,
E010b_run_crossval_suspicious_summary.sh,bash -n,0,
E021_run_NormOnly_train_val_core_pixel_eval_overlayvis_20260710.sh,bash -n,0,
E026_run_NormThenMeter_train_val_core_pixel_eval_20260727.sh,bash -n,0,
E031_run_MeterOnly_train_val_core_pixel_eval_20260713.sh,bash -n,0,
F021_run_fullriver_inference_NormOnly_TileAvgVRT_20260710.sh,bash -n,0,
F023_run_fullriver_gt_error_NormOnly_20260710.sh,bash -n,0,
F024_submit_three_holdout_NormOnly_eval_inference_error_20260727.sh,bash -n,0,
F026_run_fullriver_inference_NormThenMeter_TileAvgVRT_20260727.sh,bash -n,0,
F028_run_fullriver_gt_error_NormThenMeter_UniquePixel_20260727.sh,bash -n,0,
F029_submit_three_holdout_NormThenMeter_eval_inference_error_20260727.sh,bash -n,0,
F031_run_fullriver_inference_MeterOnly_TileAvgVRT_20260713.sh,bash -n,0,
F033_run_fullriver_gt_error_MeterOnly_UniquePixel_20260713.sh,bash -n,0,
F033b_submit_three_holdout_MeterOnly_eval_inference_error_20260713.sh,bash -n,0,
G021_run_NormOnly_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260711.sh,bash -n,0,
G026_run_NormThenMeter_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260727.sh,bash -n,0,
G031_run_MeterOnly_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260714.sh,bash -n,0,
G091_run_compare_fullriver_error_distribution_NormOnly_vs_MeterOnly_20260714.sh,bash -n,0,
G093_run_compare_NormThenMeter_vs_MeterOnly_local_reaches_20260727.sh,bash -n,0,
ALL_PYTHON_FILES,python -m compileall -q,0,
