river,tile_id,key,tile_path,hidden_path,loss_path,core_loss_path,avg_pred_tile_path,overlap_count_tile_path,mosaic_row0,mosaic_col0,tile_height,tile_width,core_loss_valid_pixels_before_prediction_filter,prediction_patch_pixels,core_final_loss_pixels,final_prediction_pixels_after_prediction_patch_filter,excluded_visible_core_loss_pixels,prediction_patch_filter_applied,tile_overlap_min,tile_overlap_mean,tile_overlap_max
CA_KlamathRiver_TopoBathy_2018_D18,2896,1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2896,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2896.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2896_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2896_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2896_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CA_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CA_KlamathRiver_TopoBathy_2018_D18/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2896_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CA_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CA_KlamathRiver_TopoBathy_2018_D18/tile_overlap_count_core_final_loss/F044_overlap_count_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2896_core_final_loss.tif,32020,106473,336,336,4494,6656,1280,1280,3214,1,1,2.02578125,3
CA_KlamathRiver_TopoBathy_2018_D18,2897,1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2897,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2897.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2897_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2897_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2897_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CA_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CA_KlamathRiver_TopoBathy_2018_D18/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2897_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CA_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CA_KlamathRiver_TopoBathy_2018_D18/tile_overlap_count_core_final_loss/F044_overlap_count_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2897_core_final_loss.tif,31965,106480,336,336,5498,9472,3328,3328,2170,1,1,1.4951923076923077,3
CA_KlamathRiver_TopoBathy_2018_D18,2898,1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2898,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2898.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2898_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2898_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2898_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CA_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CA_KlamathRiver_TopoBathy_2018_D18/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2898_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CA_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CA_KlamathRiver_TopoBathy_2018_D18/tile_overlap_count_core_final_loss/F044_overlap_count_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2898_core_final_loss.tif,31900,106472,336,336,6189,8448,3072,3072,3117,1,1,1.8125,2
CA_KlamathRiver_TopoBathy_2018_D18,2899,1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2899,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2899.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2899_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2899_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2899_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CA_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CA_KlamathRiver_TopoBathy_2018_D18/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2899_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CA_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CA_KlamathRiver_TopoBathy_2018_D18/tile_overlap_count_core_final_loss/F044_overlap_count_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2899_core_final_loss.tif,31835,106472,336,336,6186,9216,3840,3840,2346,1,1,1.8541666666666667,2
CA_KlamathRiver_TopoBathy_2018_D18,2900,1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2900,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2900.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2900_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2900_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2900_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CA_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CA_KlamathRiver_TopoBathy_2018_D18/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2900_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CA_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CA_KlamathRiver_TopoBathy_2018_D18/tile_overlap_count_core_final_loss/F044_overlap_count_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2900_core_final_loss.tif,31771,106472,336,336,5486,9216,3584,3584,1902,1,1,1.8351004464285714,2
CA_KlamathRiver_TopoBathy_2018_D18,2901,1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2901,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2901.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2901_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2901_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2901_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CA_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CA_KlamathRiver_TopoBathy_2018_D18/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2901_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CA_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CA_KlamathRiver_TopoBathy_2018_D18/tile_overlap_count_core_final_loss/F044_overlap_count_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2901_core_final_loss.tif,31706,106471,336,336,4645,10496,2816,2816,1829,1,1,1.7844460227272727,2
CA_KlamathRiver_TopoBathy_2018_D18,2902,1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2902,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2902.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2902_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2902_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2902_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CA_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CA_KlamathRiver_TopoBathy_2018_D18/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2902_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CA_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CA_KlamathRiver_TopoBathy_2018_D18/tile_overlap_count_core_final_loss/F044_overlap_count_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2902_core_final_loss.tif,31641,106478,336,336,4805,11776,3584,3584,1221,1,1,1.6163504464285714,2
CA_KlamathRiver_TopoBathy_2018_D18,2903,1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2903,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2903.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2903_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2903_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2903_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CA_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CA_KlamathRiver_TopoBathy_2018_D18/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2903_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CA_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CA_KlamathRiver_TopoBathy_2018_D18/tile_overlap_count_core_final_loss/F044_overlap_count_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2903_core_final_loss.tif,31576,106477,336,336,6204,12288,4352,4352,1852,1,1,1.9014246323529411,3
CA_KlamathRiver_TopoBathy_2018_D18,2904,1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2904,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2904.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2904_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2904_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2904_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CA_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CA_KlamathRiver_TopoBathy_2018_D18/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2904_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CA_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CA_KlamathRiver_TopoBathy_2018_D18/tile_overlap_count_core_final_loss/F044_overlap_count_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2904_core_final_loss.tif,31521,106491,336,336,6853,10240,4096,4096,2757,1,1,2.05810546875,3
CA_KlamathRiver_TopoBathy_2018_D18,2905,1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2905,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2905.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2905_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2905_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2905_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CA_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CA_KlamathRiver_TopoBathy_2018_D18/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2905_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CA_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CA_KlamathRiver_TopoBathy_2018_D18/tile_overlap_count_core_final_loss/F044_overlap_count_1m_CA_KlamathRiver_TopoBathy_2018_D18_ID2905_core_final_loss.tif,31474,106525,336,336,6493,10240,3584,3584,2909,1,1,2.1255580357142856,3
