river,tile_id,key,tile_path,hidden_path,loss_path,core_loss_path,avg_pred_tile_path,overlap_count_tile_path,mosaic_row0,mosaic_col0,tile_height,tile_width,core_loss_valid_pixels_before_prediction_filter,prediction_patch_pixels,core_final_loss_pixels,final_prediction_pixels_after_prediction_patch_filter,excluded_visible_core_loss_pixels,prediction_patch_filter_applied,tile_overlap_min,tile_overlap_mean,tile_overlap_max
CO_UpperColorado_Topobathy_1_2020,1335,1m_CO_UpperColorado_Topobathy_1_2020_ID1335,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1335.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1335_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1335_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1335_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CO_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CO_UpperColorado_Topobathy_1_2020/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_CO_UpperColorado_Topobathy_1_2020_ID1335_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CO_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CO_UpperColorado_Topobathy_1_2020/tile_overlap_count_core_final_loss/F044_overlap_count_1m_CO_UpperColorado_Topobathy_1_2020_ID1335_core_final_loss.tif,17455,134343,336,336,4970,19968,4045,4045,925,1,1,1.7095179233621756,2
CO_UpperColorado_Topobathy_1_2020,1336,1m_CO_UpperColorado_Topobathy_1_2020_ID1336,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1336.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1336_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1336_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1336_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CO_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CO_UpperColorado_Topobathy_1_2020/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_CO_UpperColorado_Topobathy_1_2020_ID1336_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CO_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CO_UpperColorado_Topobathy_1_2020/tile_overlap_count_core_final_loss/F044_overlap_count_1m_CO_UpperColorado_Topobathy_1_2020_ID1336_core_final_loss.tif,17493,134399,336,336,7585,18432,5708,5708,1877,1,1,1.863875262789068,2
CO_UpperColorado_Topobathy_1_2020,1337,1m_CO_UpperColorado_Topobathy_1_2020_ID1337,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1337.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1337_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1337_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1337_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CO_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CO_UpperColorado_Topobathy_1_2020/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_CO_UpperColorado_Topobathy_1_2020_ID1337_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CO_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CO_UpperColorado_Topobathy_1_2020/tile_overlap_count_core_final_loss/F044_overlap_count_1m_CO_UpperColorado_Topobathy_1_2020_ID1337_core_final_loss.tif,17494,134456,336,336,6908,17664,5105,5105,1803,1,1,1.9008814887365328,3
CO_UpperColorado_Topobathy_1_2020,1338,1m_CO_UpperColorado_Topobathy_1_2020_ID1338,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1338.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1338_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1338_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1338_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CO_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CO_UpperColorado_Topobathy_1_2020/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_CO_UpperColorado_Topobathy_1_2020_ID1338_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CO_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CO_UpperColorado_Topobathy_1_2020/tile_overlap_count_core_final_loss/F044_overlap_count_1m_CO_UpperColorado_Topobathy_1_2020_ID1338_core_final_loss.tif,17513,134512,336,336,4590,14336,2658,2658,1932,1,1,2.038374717832957,3
CO_UpperColorado_Topobathy_1_2020,1339,1m_CO_UpperColorado_Topobathy_1_2020_ID1339,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1339.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1339_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1339_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1339_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CO_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CO_UpperColorado_Topobathy_1_2020/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_CO_UpperColorado_Topobathy_1_2020_ID1339_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CO_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CO_UpperColorado_Topobathy_1_2020/tile_overlap_count_core_final_loss/F044_overlap_count_1m_CO_UpperColorado_Topobathy_1_2020_ID1339_core_final_loss.tif,17551,134555,336,336,3624,14848,2295,2295,1329,1,1,1.9263616557734204,3
CO_UpperColorado_Topobathy_1_2020,1340,1m_CO_UpperColorado_Topobathy_1_2020_ID1340,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1340.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1340_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1340_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1340_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CO_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CO_UpperColorado_Topobathy_1_2020/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_CO_UpperColorado_Topobathy_1_2020_ID1340_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CO_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CO_UpperColorado_Topobathy_1_2020/tile_overlap_count_core_final_loss/F044_overlap_count_1m_CO_UpperColorado_Topobathy_1_2020_ID1340_core_final_loss.tif,17570,134611,336,336,2774,13312,1547,1547,1227,1,1,1.9276018099547512,3
CO_UpperColorado_Topobathy_1_2020,1341,1m_CO_UpperColorado_Topobathy_1_2020_ID1341,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1341.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1341_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1341_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1341_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CO_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CO_UpperColorado_Topobathy_1_2020/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_CO_UpperColorado_Topobathy_1_2020_ID1341_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CO_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CO_UpperColorado_Topobathy_1_2020/tile_overlap_count_core_final_loss/F044_overlap_count_1m_CO_UpperColorado_Topobathy_1_2020_ID1341_core_final_loss.tif,17552,134668,336,336,2933,12544,1775,1775,1158,1,1,1.91943661971831,2
CO_UpperColorado_Topobathy_1_2020,1342,1m_CO_UpperColorado_Topobathy_1_2020_ID1342,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1342.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1342_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1342_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1342_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CO_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CO_UpperColorado_Topobathy_1_2020/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_CO_UpperColorado_Topobathy_1_2020_ID1342_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CO_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CO_UpperColorado_Topobathy_1_2020/tile_overlap_count_core_final_loss/F044_overlap_count_1m_CO_UpperColorado_Topobathy_1_2020_ID1342_core_final_loss.tif,17535,134725,336,336,4476,12032,2987,2987,1489,1,1,1.8309340475393372,2
CO_UpperColorado_Topobathy_1_2020,1343,1m_CO_UpperColorado_Topobathy_1_2020_ID1343,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1343.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1343_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1343_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1343_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CO_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CO_UpperColorado_Topobathy_1_2020/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_CO_UpperColorado_Topobathy_1_2020_ID1343_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CO_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CO_UpperColorado_Topobathy_1_2020/tile_overlap_count_core_final_loss/F044_overlap_count_1m_CO_UpperColorado_Topobathy_1_2020_ID1343_core_final_loss.tif,17517,134783,336,336,5218,12032,3100,3100,2118,1,1,1.5167741935483872,2
CO_UpperColorado_Topobathy_1_2020,1344,1m_CO_UpperColorado_Topobathy_1_2020_ID1344,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1344.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1344_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1344_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_CO_UpperColorado_Topobathy_1_2020_ID1344_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CO_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CO_UpperColorado_Topobathy_1_2020/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_CO_UpperColorado_Topobathy_1_2020_ID1344_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_CO_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/CO_UpperColorado_Topobathy_1_2020/tile_overlap_count_core_final_loss/F044_overlap_count_1m_CO_UpperColorado_Topobathy_1_2020_ID1344_core_final_loss.tif,17519,134911,336,336,3417,13312,1967,1967,1450,1,1,1.3268937468225726,2
