river,tile_id,key,tile_path,hidden_path,loss_path,core_loss_path,avg_pred_tile_path,overlap_count_tile_path,mosaic_row0,mosaic_col0,tile_height,tile_width,core_loss_valid_pixels_before_prediction_filter,prediction_patch_pixels,core_final_loss_pixels,final_prediction_pixels_after_prediction_patch_filter,excluded_visible_core_loss_pixels,prediction_patch_filter_applied,tile_overlap_min,tile_overlap_mean,tile_overlap_max
OR_SantiamRiverTB_Topobathy_1_D23,815,1m_OR_SantiamRiverTB_Topobathy_1_D23_ID815,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID815.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID815_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID815_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID815_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_Santiam_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/OR_SantiamRiverTB_Topobathy_1_D23/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID815_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_Santiam_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/OR_SantiamRiverTB_Topobathy_1_D23/tile_overlap_count_core_final_loss/F044_overlap_count_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID815_core_final_loss.tif,9434,21766,336,336,4772,7936,2048,2048,2724,1,1,1.86572265625,3
OR_SantiamRiverTB_Topobathy_1_D23,816,1m_OR_SantiamRiverTB_Topobathy_1_D23_ID816,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID816.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID816_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID816_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID816_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_Santiam_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/OR_SantiamRiverTB_Topobathy_1_D23/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID816_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_Santiam_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/OR_SantiamRiverTB_Topobathy_1_D23/tile_overlap_count_core_final_loss/F044_overlap_count_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID816_core_final_loss.tif,9378,21772,336,336,4453,9472,3584,3584,869,1,1,1.5089285714285714,3
OR_SantiamRiverTB_Topobathy_1_D23,817,1m_OR_SantiamRiverTB_Topobathy_1_D23_ID817,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID817.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID817_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID817_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID817_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_Santiam_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/OR_SantiamRiverTB_Topobathy_1_D23/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID817_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_Santiam_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/OR_SantiamRiverTB_Topobathy_1_D23/tile_overlap_count_core_final_loss/F044_overlap_count_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID817_core_final_loss.tif,9323,21779,336,336,4561,9472,2048,2048,2513,1,1,1.955078125,3
OR_SantiamRiverTB_Topobathy_1_D23,818,1m_OR_SantiamRiverTB_Topobathy_1_D23_ID818,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID818.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID818_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID818_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID818_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_Santiam_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/OR_SantiamRiverTB_Topobathy_1_D23/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID818_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_Santiam_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/OR_SantiamRiverTB_Topobathy_1_D23/tile_overlap_count_core_final_loss/F044_overlap_count_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID818_core_final_loss.tif,9267,21766,336,336,5522,10496,3840,3840,1682,1,1,1.7359375,3
OR_SantiamRiverTB_Topobathy_1_D23,819,1m_OR_SantiamRiverTB_Topobathy_1_D23_ID819,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID819.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID819_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID819_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID819_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_Santiam_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/OR_SantiamRiverTB_Topobathy_1_D23/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID819_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_Santiam_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/OR_SantiamRiverTB_Topobathy_1_D23/tile_overlap_count_core_final_loss/F044_overlap_count_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID819_core_final_loss.tif,9212,21772,336,336,6457,11264,3840,3840,2617,1,1,1.90859375,3
OR_SantiamRiverTB_Topobathy_1_D23,820,1m_OR_SantiamRiverTB_Topobathy_1_D23_ID820,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID820.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID820_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID820_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID820_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_Santiam_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/OR_SantiamRiverTB_Topobathy_1_D23/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID820_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_Santiam_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/OR_SantiamRiverTB_Topobathy_1_D23/tile_overlap_count_core_final_loss/F044_overlap_count_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID820_core_final_loss.tif,9156,21779,336,336,6827,12288,4864,4864,1963,1,1,1.9274259868421053,3
OR_SantiamRiverTB_Topobathy_1_D23,821,1m_OR_SantiamRiverTB_Topobathy_1_D23_ID821,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID821.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID821_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID821_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID821_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_Santiam_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/OR_SantiamRiverTB_Topobathy_1_D23/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID821_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_Santiam_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/OR_SantiamRiverTB_Topobathy_1_D23/tile_overlap_count_core_final_loss/F044_overlap_count_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID821_core_final_loss.tif,9101,21792,336,336,7179,13056,5120,5120,2059,1,1,2.089453125,3
OR_SantiamRiverTB_Topobathy_1_D23,822,1m_OR_SantiamRiverTB_Topobathy_1_D23_ID822,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID822.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID822_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID822_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID822_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_Santiam_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/OR_SantiamRiverTB_Topobathy_1_D23/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID822_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_Santiam_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/OR_SantiamRiverTB_Topobathy_1_D23/tile_overlap_count_core_final_loss/F044_overlap_count_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID822_core_final_loss.tif,9054,21825,336,336,6459,12544,4096,4096,2363,1,1,2.086181640625,3
OR_SantiamRiverTB_Topobathy_1_D23,823,1m_OR_SantiamRiverTB_Topobathy_1_D23_ID823,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID823.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID823_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID823_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID823_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_Santiam_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/OR_SantiamRiverTB_Topobathy_1_D23/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID823_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_Santiam_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/OR_SantiamRiverTB_Topobathy_1_D23/tile_overlap_count_core_final_loss/F044_overlap_count_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID823_core_final_loss.tif,8999,21851,336,336,5756,13568,3840,3840,1916,1,1,1.825,3
OR_SantiamRiverTB_Topobathy_1_D23,824,1m_OR_SantiamRiverTB_Topobathy_1_D23_ID824,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/FullRiver_tile/E001_FullRiver_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID824.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Hidden_Mask/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID824_HiddenMask.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Loss_Mask_Pixel/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID824_LossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/Processed_Results/Tiles_for_MAE_FullRiver_E001c_AnyVisiblePatch/Tiles_1m/Core_Loss_Mask_Pixel/E001_tile_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID824_CoreLossMaskPixel.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_Santiam_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/OR_SantiamRiverTB_Topobathy_1_D23/tile_predictions_core_final_loss_avg/F044_avg_pred_m_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID824_core_final_loss.tif,/tank/data/SFS/xinyis/data/bathymetry/MAE-Topography/Downstream_Task_Bathy_relax_HiddenMask/results/FullRiver_Predictions_F044_MeterOnly_D001cAnyVisiblePatch/holdout_Santiam_D044MeterOnly_D001cAnyVisiblePatch_D001NoDataSafe/OR_SantiamRiverTB_Topobathy_1_D23/tile_overlap_count_core_final_loss/F044_overlap_count_1m_OR_SantiamRiverTB_Topobathy_1_D23_ID824_core_final_loss.tif,8943,21877,336,336,6027,12288,3584,3584,2443,1,1,2.058872767857143,3
