river,candidate_count,kept_count,keep_fraction,effective_min,effective_p10,effective_median,effective_p90,effective_max,effective_eq0,effective_lt64,effective_lt128,effective_lt256,core_hidden_patch_median,hidden_patch_median,visible_patch_median,known_patch_ratio_median,core_loss_pixel_median,core_loss_pixel_ratio_median
BadgerFinNull,30,18,0.6,3328,3840,5888,8550.4,8960,0,0,0,0,23,83.5,357.5,0.810657596371883,8285.5,0.660514987244898
CA_KlamathRiver_TopoBathy_2018_D18,4799,4116,0.857678683058971,2,1738.8,3328,5632,10752,0,4,8,15,13,51,374,0.848072562358277,5720.5,0.456034757653062
CO_UpperColorado_Topobathy_1_2020,2080,1812,0.871153846153846,61,1665.7,3607.5,6116.3,9714,0,1,1,5,18,55,386,0.875283446712018,5593.5,0.445910395408163
Estabrook_Combined,19,10,0.526315789473684,3328,3328,4480,5760,5888,0,0,0,0,17.5,60,381,0.863945578231292,6686.5,0.533043686224489
KewaFix2Null,67,35,0.522388059701492,3072,3840,5632,7680,8960,0,0,0,0,22,70,371,0.841269841269841,7598,0.605707908163265
Kletzch_Combined_UpMax3Null,67,50,0.746268656716418,2304,3072,4352,6400,9216,0,0,0,0,17,55,386,0.875283446712018,6549,0.522082270408163
MD_PotomacRiver_Bathy_2019,3850,450,0.116883116883117,8,928,5888,8960,10752,0,4,6,11,24,98,340,0.770975056689342,8664.5,0.690728635204082
NE_Niobrara_Topobathy_2018,5586,1896,0.339419978517723,1,768,3328,8448,12288,0,13,18,26,16,95,346,0.784580498866213,7134.5,0.568757971938775
OR_MKRC_Topobathy_2021,1254,1120,0.893141945773525,54,1773,4062.5,6459,11326,0,1,2,5,22,68,373,0.845804988662131,6823,0.543925382653061
OR_SantiamRiverTB_Topobathy_1_D23,2977,1528,0.513268390997649,4,1268.5,3840,6400,10496,0,1,2,4,15,55,383,0.868480725623583,6281.5,0.500757334183674
WA_ChehalisRiverTB_Topobathy_1_D23,162,22,0.135802469135802,225,249.7,670,1332.3,1792,0,0,0,2,3.5,8,433,0.981859410430839,3235,0.257892219387755
WA_Nisqually_Bathymetric_2020,458,362,0.790393013100437,1,8,78,1040.5,6400,0,164,218,264,15.5,51,390,0.884353741496599,909,0.0724649234693878
ALL,21349,11419,0.534872827767109,1,1208,3537,6656,12288,0,188,255,332,16,NaN,NaN,NaN,NaN,NaN
